,p,k,n,rgap,time,||X - BZ||_F/(n*p),TPR,FPR
0,20,1,2,0.0,0.015681028366088867,0.00813912763876498,0.0,0.49999999999975
1,20,1,4,0.0,0.012662887573242188,0.007876452961139943,0.9999999999989999,0.0
2,20,1,8,0.0,0.12424588203430176,0.007079898436197921,0.9999999999989999,0.0
3,20,1,16,3.1541484633775935e-05,3.008207082748413,0.005075851314313022,0.9999999999997999,0.0
4,20,1,32,9.792339080239132e-05,6.774216890335083,0.003898005893398896,0.9999999999999,0.0
5,20,2,4,0.0,0.257174015045166,0.006416042423639874,0.7499999999998125,0.0
6,20,2,8,0.0,0.8709390163421631,0.006784824109997036,0.9999999999998571,0.0
7,20,2,16,0.0,39.30349779129028,0.004796606414123534,0.9999999999999166,0.0
8,20,2,32,0.7698067941999218,120.08446598052979,0.0038433220941920866,0.99999999999995,0.0
9,20,2,64,0.9985054433274834,120.07318186759949,0.002813529551659591,0.9999999999999721,0.010869565217391186
10,20,3,6,0.0,8.236352920532227,0.005730418508606881,0.9999999999996666,0.3333333333333111
11,20,3,12,0.5697981003738571,120.04921507835388,0.005456448238029256,0.9999999999999,0.038461538461536986
12,20,3,24,1.0,120.03279185295105,0.004445484993513909,0.9999999999999445,0.1481481481481454
13,20,3,48,0.9999999999999993,120.09424018859863,0.003907217653160313,0.7659574468084943,0.18556701030927644
14,20,3,96,1.0,120.1223030090332,0.0040314364592160985,0.7684210526315709,0.24352331606217492
15,50,1,2,0.0,0.015917062759399414,0.006794425796138231,0.0,0.9999999999995
16,50,1,4,0.0,0.28268003463745117,0.005740801936309664,0.0,0.2499999999999375
17,50,1,8,0.0,0.25885701179504395,0.004394643384518849,0.9999999999989999,0.0
18,50,1,16,0.0,5.044792890548706,0.0034348046343397635,0.9999999999998334,0.0
19,50,1,32,0.0,32.35818886756897,0.0025219839148879464,0.9999999999998889,0.0
20,50,2,4,0.0,0.6322329044342041,0.004336553044580193,0.9999999999989999,0.5714285714284898
21,50,2,8,0.0,4.510481119155884,0.004285576348883793,0.9999999999996666,0.0
22,50,2,16,0.4150807677814775,120.0506010055542,0.0033187434633424173,0.9999999999999231,0.0
23,50,2,32,0.9999999999999947,120.0474808216095,0.002469992848230603,0.9999999999999616,0.0
24,50,2,64,0.9999999999999986,120.1643750667572,0.0019824564210829047,0.7755102040816167,0.354430379746831
25,50,3,6,0.0,16.176698923110962,0.00422205342686055,0.9999999999996666,0.19999999999998666
26,50,3,12,0.9999999999999972,120.03697991371155,0.0040353298267648725,0.9333333333332711,0.23809523809522679
27,50,3,24,1.0,120.03244686126709,0.0031193778208629106,0.9199999999999633,0.0
28,50,3,48,1.0,120.09507489204407,0.0038592637885411043,0.6808510638297727,0.30927835051546076
29,50,3,96,0.9999999999999948,120.34155082702637,0.0029926236765441417,0.6024096385542096,0.3658536585365836
30,100,1,2,0.0,0.03715705871582031,0.004474266932126474,0.0,0.49999999999975
31,100,1,4,0.0,0.21186614036560059,0.004069633173023585,0.0,0.499999999999875
32,100,1,8,0.0,0.37335801124572754,0.0032970761199880255,0.9999999999989999,0.0
33,100,1,16,0.0,92.67058610916138,0.00245498924702576,0.9999999999996666,0.0
34,100,1,32,0.24990187737924857,120.15328001976013,0.0017429326165847925,0.9999999999999231,0.0
35,100,2,4,0.0,0.7679100036621094,0.003649355594170979,0.9999999999995,0.0
36,100,2,8,0.0,4.2084269523620605,0.0031004877907519377,0.9999999999998334,0.0
37,100,2,16,0.0,40.41100001335144,0.0024205217140121724,0.9999999999999,0.0
38,100,2,32,0.8469053217842063,120.05958890914917,0.0017416205554365888,0.99999999999995,0.0
39,100,2,64,0.9960739986886354,120.3624620437622,0.001918048600145784,0.9722222222221951,0.13043478260869423
40,100,3,6,0.0,31.87419104576111,0.0029500656428559824,0.9999999999998334,0.0
41,100,3,12,1.0,120.21987295150757,0.0036277107862288964,0.9999999999999231,0.08695652173912666
42,100,3,24,1.0,120.07978582382202,0.00363541194667375,0.8399999999999664,0.2765957446808452
43,100,3,48,0.9999999999999982,120.23322200775146,0.0031538012959501176,0.863636363636344,0.6999999999999931
44,100,3,96,1.0,120.10946416854858,0.03071939546661898,0.9999999999999893,0.9999999999999949
