,p,k,n,n1,rgap,time,||X - BZ||_F/(n*p),TPR,FPR
0,50,1,50,4,0.0,0.341386079788208,0.0005861681374581699,0.0,0.0
1,50,1,50,6,0.0,0.28133296966552734,0.0007335720686024052,0.0,0.0
2,50,1,50,8,0.0,0.2814939022064209,0.0008069375697222736,0.9999999999989999,0.0
3,50,1,50,10,0.0,0.3043680191040039,0.0008964485850077363,0.9999999999995,0.0
4,50,1,50,50,0.15119538685052325,600.0726320743561,0.001991382602197203,0.9999999999999286,0.0
5,50,2,50,8,0.0,34.84421396255493,0.0006808900747935536,0.9999999999997999,0.0
6,50,2,50,12,0.0,74.2050712108612,0.0009075069099806145,0.999999999999875,0.0
7,50,2,50,16,0.0,379.5658469200134,0.0010936932716525253,0.9999999999999,0.0
8,50,2,50,20,0.377150342267716,600.008358001709,0.0012497990151446614,0.9999999999999231,0.0
9,50,2,50,50,0.7946769872602145,600.0098059177399,0.001961830969979894,0.9999999999999744,0.0
10,50,3,50,12,0.9336856851393367,600.0136299133301,0.0008828714844318011,0.9999999999998889,0.07407407407407134
11,50,3,50,18,1.0,600.0091390609741,0.0013004126336640539,0.9999999999999286,0.04999999999999875
12,50,3,50,24,0.999999999999952,600.0143268108368,0.0016576099252161337,0.9523809523809071,0.09803921568627258
13,50,3,50,30,1.0,600.0067100524902,0.002127257308150962,0.8571428571428266,0.24193548387096384
14,50,3,50,50,1.0,600.0113379955292,0.001959446614218119,0.9999999999999791,0.0
